,value,variable,date
632,0.0,1998,3/18
633,0.0,1998,3/19
634,0.0,1998,3/20
635,0.0,1998,3/21
636,0.0,1998,3/22
637,0.0,1998,3/23
638,0.0,1998,3/24
639,0.0,1998,3/25
640,0.0,1998,3/26
641,0.0,1998,3/27
642,0.0,1998,3/28
643,0.0,1998,3/29
644,0.0,1998,3/30
645,0.3251511668290256,1998,3/31
646,0.6197401189476657,1998,4/1
647,0.7726074722935351,1998,4/2
648,0.9703897581504982,1998,4/3
649,1.2384806284767562,1998,4/4
650,1.36188542690176,1998,4/5
651,1.4901975150230335,1998,4/6
652,1.6174492218349112,1998,4/7
653,1.5340948707300592,1998,4/8
654,1.669682368315368,1998,4/9
655,1.7364341367021094,1998,4/10
656,1.8273113741570655,1998,4/11
657,2.007072157139991,1998,4/12
658,2.139741652781682,1998,4/13
659,2.3985141897264843,1998,4/14
660,2.4002815444422723,1998,4/15
661,2.298039651402681,1998,4/16
662,2.35670695737223,1998,4/17
663,2.491099484787186,1998,4/18
664,2.5452237974754772,1998,4/19
665,2.51673338428388,1998,4/20
666,2.7255699133883353,1998,4/21
667,2.833992702269132,1998,4/22
668,2.9240256899638304,1998,4/23
669,2.9256595746184995,1998,4/24
670,3.038362542666732,1998,4/25
671,2.977528020987256,1998,4/26
672,3.1302652001615416,1998,4/27
673,3.213582896649649,1998,4/28
674,3.3493347851085713,1998,4/29
675,3.356501260533672,1998,4/30
676,3.419469630406931,1998,5/1
677,3.6042892406753477,1998,5/2
678,3.579456959521043,1998,5/3
679,3.5610368306445204,1998,5/4
680,3.7225716297086193,1998,5/5
681,3.695595718324379,1998,5/6
682,3.6779890096987544,1998,5/7
683,3.8275531410999215,1998,5/8
684,3.802582642933242,1998,5/9
685,4.015416625663492,1998,5/10
686,4.173318699373236,1998,5/11
687,4.3029023503517445,1998,5/12
688,4.306021870937354,1998,5/13
689,4.467354487904303,1998,5/14
690,4.433800954760308,1998,5/15
691,4.525206242636519,1998,5/16
692,4.5729068614097095,1998,5/17
693,4.387454949576328,1998,5/18
694,4.495242774719652,1998,5/19
695,4.769702705310777,1998,5/20
696,4.999354764782891,1998,5/21
697,5.132069688118114,1998,5/22
698,5.16021207569833,1998,5/23
699,5.087768337276987,1998,5/24
700,5.112600412726651,1998,5/25
701,5.352991324495374,1998,5/26
702,5.374344531212785,1998,5/27
703,5.3473206818991885,1998,5/28
704,5.430724746674208,1998,5/29
705,5.395161006736726,1998,5/30
706,5.518624335998857,1998,5/31
707,5.622222848064541,1998,6/1
708,5.893094275746482,1998,6/2
709,6.104208806505433,1998,6/3
710,6.207338286321504,1998,6/4
711,6.217441053918009,1998,6/5
712,6.5250526166136895,1998,6/6
713,6.7870810196545355,1998,6/7
714,6.999269802331767,1998,6/8
715,7.148970696658192,1998,6/9
716,7.138473092405221,1998,6/10
717,7.113943549317471,1998,6/11
718,6.968461652504478,1998,6/12
719,6.922537502134645,1998,6/13
720,7.020886273785803,1998,6/14
721,6.969848589004841,1998,6/15
722,7.072827557503515,1998,6/16
723,7.160813371860702,1998,6/17
724,7.229222511826991,1998,6/18
725,7.281155765868763,1998,6/19
726,7.2986119570240175,1998,6/20
727,7.406623132014126,1998,6/21
728,7.498870983029192,1998,6/22
729,7.6109336709617885,1998,6/23
730,7.536931528093402,1998,6/24
731,7.620745260878992,1998,6/25
732,7.696605201967124,1998,6/26
733,7.725700645333003,1998,6/27
734,7.670210980329485,1998,6/28
735,7.670210980329485,1998,6/29
736,7.662010988236152,1998,6/30
737,7.869645380637851,1998,7/1
738,7.907295175712321,1998,7/2
739,8.065241036183538,1998,7/3
740,8.045726863973902,1998,7/4
741,8.357887489881747,1998,7/5
742,8.357887489881747,1998,7/6
743,8.357887489881747,1998,7/7
744,8.357887489881747,1998,7/8
745,8.413520885931243,1998,7/9
746,8.39837383086069,1998,7/10
747,8.402611029525941,1998,7/11
748,8.416510106733249,1998,7/12
749,8.174209790773551,1998,7/13
750,8.160265893870537,1998,7/14
751,8.154814815227551,1998,7/15
752,8.007354153992516,1998,7/16
753,7.996350833856486,1998,7/17
754,8.171244396941823,1998,7/18
755,8.192554262789049,1998,7/19
756,8.350808860567644,1998,7/20
757,8.483799669677955,1998,7/21
758,8.68320325911116,1998,7/22
759,8.871976682284362,1998,7/23
760,9.007887881960242,1998,7/24
761,8.922768001962558,1998,7/25
762,9.006203418860148,1998,7/26
763,9.123198506848686,1998,7/27
764,9.189024801197963,1998,7/28
765,9.413050377214713,1998,7/29
766,9.413420853824208,1998,7/30
767,9.397821684241132,1998,7/31
768,9.458290181084239,1998,8/1
769,9.509742508997332,1998,8/2
770,9.406942105925404,1998,8/3
771,9.725107878732995,1998,8/4
772,9.600670259094512,1998,8/5
773,9.675002329486391,1998,8/6
774,9.859866203561031,1998,8/7
775,9.968794926628787,1998,8/8
776,10.036977698901817,1998,8/9
777,10.14118710416613,1998,8/10
778,10.182868339514934,1998,8/11
779,10.35564548990921,1998,8/12
780,10.499430624576698,1998,8/13
781,10.687030407245294,1998,8/14
782,10.703890103213803,1998,8/15
783,10.669783089427542,1998,8/16
784,10.741010744030271,1998,8/17
785,10.9502078775012,1998,8/18
786,10.923067074333561,1998,8/19
787,10.865640644734327,1998,8/20
788,10.999494600295776,1998,8/21
789,11.051849632791672,1998,8/22
790,11.192778861025287,1998,8/23
791,11.336786911397711,1998,8/24
792,11.424708962287808,1998,8/25
793,11.712928042683465,1998,8/26
794,11.707750664358235,1998,8/27
795,11.80907600295037,1998,8/28
796,11.794558071789096,1998,8/29
797,11.756877493266124,1998,8/30
798,12.004507390052758,1998,8/31
799,12.06497476450067,1998,9/1
800,12.096132398892449,1998,9/2
801,12.073286103631633,1998,9/3
802,12.081244755857604,1998,9/4
803,12.195635449523735,1998,9/5
804,12.13359298767484,1998,9/6
805,12.1285779794857,1998,9/7
806,12.134277771243958,1998,9/8
807,12.320354698145534,1998,9/9
808,12.51369694288244,1998,9/10
809,12.418689625364934,1998,9/11
810,12.480038775285173,1998,9/12
811,12.314341687804292,1998,9/13
812,12.461217967971685,1998,9/14
813,12.391037081961436,1998,9/15
814,12.477567468798469,1998,9/16
815,12.645612306518927,1998,9/17
816,12.583398665097567,1998,9/18
