,deviation,year,date
824,13.00402964,1998,9/26
825,13.24321977,1998,9/27
826,13.26297267,1998,9/28
827,-,1998,9/29
828,-,1998,9/30
829,-,1998,10/1
830,-,1998,10/2
831,-,1998,10/3
832,-,1998,10/4
833,-,1998,10/5
834,-,1998,10/6
835,-,1998,10/7
836,-,1998,10/8
837,-,1998,10/9
838,-,1998,10/10
839,-,1998,10/31
840,-,1999,3/16
841,-,1999,3/17
842,-,1999,3/18
843,-,1999,3/19
844,-,1999,3/20
845,-,1999,3/21
846,-,1999,3/22
847,-,1999,3/23
848,-,1999,3/24
849,-,1999,3/25
850,-,1999,3/26
851,-,1999,3/27
852,-,1999,3/28
853,-,1999,3/29
854,-,1999,3/30
855,-,1999,3/31
856,-,1999,4/1
857,-,1999,4/2
858,-,1999,4/3
859,0.07453559925,1999,4/4
860,0.5165230867,1999,4/5
861,0.5447941947,1999,4/6
862,0.669106778,1999,4/7
863,0.8623677248,1999,4/8
864,0.9150524429,1999,4/9
865,1.043065416,1999,4/10
866,1.231422003,1999,4/11
867,1.375810358,1999,4/12
868,1.337153831,1999,4/13
869,1.485495531,1999,4/14
870,1.450815954,1999,4/15
871,1.346175709,1999,4/16
872,1.464542301,1999,4/17
873,1.515972675,1999,4/18
874,1.607212102,1999,4/19
875,1.823824015,1999,4/20
876,1.924601837,1999,4/21
877,2.033478689,1999,4/22
878,2.203553451,1999,4/23
879,2.239604654,1999,4/24
880,2.409339414,1999,4/25
881,2.459948351,1999,4/26
882,2.581302434,1999,4/27
883,2.631779975,1999,4/28
884,2.732649501,1999,4/29
885,2.670811362,1999,4/30
886,2.957165586,1999,5/1
887,3.04298976,1999,5/2
888,3.010507931,1999,5/3
889,2.893052655,1999,5/4
890,2.960305869,1999,5/5
891,3.046104179,1999,5/6
892,3.076852683,1999,5/7
893,3.183069733,1999,5/8
894,3.153792454,1999,5/9
895,3.282129133,1999,5/10
896,3.298735579,1999,5/11
897,3.446360056,1999,5/12
898,3.470379191,1999,5/13
899,3.573744106,1999,5/14
900,3.819276623,1999,5/15
901,3.733687714,1999,5/16
902,3.80898402,1999,5/17
903,3.851362029,1999,5/18
904,3.882792826,1999,5/19
905,3.884900242,1999,5/20
906,3.697259375,1999,5/21
907,3.726716491,1999,5/22
908,3.704855805,1999,5/23
909,3.750439394,1999,5/24
910,3.976707341,1999,5/25
911,4.229706359,1999,5/26
912,4.183279271,1999,5/27
913,4.217074859,1999,5/28
914,4.181449882,1999,5/29
915,4.185921549,1999,5/30
916,4.354466203,1999,5/31
917,4.433526557,1999,6/1
918,4.493198771,1999,6/2
919,4.43075226,1999,6/3
920,4.540297343,1999,6/4
921,4.611357909,1999,6/5
922,4.609442635,1999,6/6
923,4.734007774,1999,6/7
924,4.644090603,1999,6/8
925,4.705760647,1999,6/9
926,4.603394545,1999,6/10
927,4.775751057,1999,6/11
928,4.786085329,1999,6/12
929,4.849002369,1999,6/13
930,4.904979562,1999,6/14
931,5.007973111,1999,6/15
932,5.236400181,1999,6/16
933,5.452440237,1999,6/17
934,5.579242797,1999,6/18
935,5.641187306,1999,6/19
936,5.642383334,1999,6/20
937,5.641949849,1999,6/21
938,5.467403096,1999,6/22
939,5.662568342,1999,6/23
940,5.820800551,1999,6/24
941,5.767302646,1999,6/25
942,5.603248422,1999,6/26
943,5.636292329,1999,6/27
944,5.857799397,1999,6/28
945,6.089924868,1999,6/29
946,6.038998333,1999,6/30
947,6.193343242,1999,7/1
948,6.362985307,1999,7/2
949,6.473479084,1999,7/3
950,6.368384571,1999,7/4
951,6.39718436,1999,7/5
952,6.423991814,1999,7/6
953,6.357759291,1999,7/7
954,6.438552031,1999,7/8
955,6.467376206,1999,7/9
956,6.435501085,1999,7/10
957,6.385927075,1999,7/11
958,6.385927075,1999,7/12
959,6.385927075,1999,7/13
960,6.385927075,1999,7/14
961,6.535275158,1999,7/15
962,6.49165858,1999,7/16
963,6.47405168,1999,7/17
964,6.59822271,1999,7/18
965,6.595396068,1999,7/19
966,6.695970496,1999,7/20
967,6.815735139,1999,7/21
968,6.809066268,1999,7/22
